level	no	word	gloss_short	gloss_full	score
lv1	269	store	～を蓄える／～を保存する	～を蓄える／～を保存する	0.622
lv1	270	track	跡／足跡	跡／足跡／小道	0.691
lv1	271	via	～経由で／～媒介で	～経由で／～媒介で／～の手段によって	0.782
lv1	272	weight	体重／重さ	体重／重さ	0.622
lv1	273	allow	～を許す／～を許可する	～を許す／～を許可する／～が許す	0.781
lv1	274	beat	～を打ち負かす／打つ	～を打ち負かす／打つ／～を打つ	0.689
lv1	275	capital	資本／首都	資本／首都／大文字	0.689
lv1	276	committee	委員会	委員会	0.689
lv1	277	conference	会議／協議	会議／協議	0.781
lv1	278	expect	～を予期する／～を予想する	～を予期する／～を予想する／～と思う	0.689
lv1	279	normal	普通の	普通の	0.621
lv1	280	population	人口／個体数	人口／個体数／住民	0.621
lv1	281	potential	潜在的な／潜在能力	潜在的な／潜在能力／可能性を秘めた	0.873
lv1	282	text	メールを送る／文章	メールを送る／文章／メール	0.621
lv1	283	campaign	運動／軍事行動	運動／軍事行動／選挙活動	0.688
lv1	284	content	中身／内容	中身／内容／コンテンツ	0.688
lv1	285	credit	信用／功績	信用／功績／～を帰する	0.688
lv1	286	cross	～を横切る／機嫌の悪い	～を横切る／機嫌の悪い	0.620
lv1	287	despite	～にもかかわらず	～にもかかわらず	0.780
lv1	288	female	女性の／女性	女性の／女性／雌の	0.620
lv1	289	focus	焦点／集中する	焦点／集中する／焦点を当てる	0.780
lv1	290	individual	個人の／個人	個人の／個人／個々の	0.780
lv1	291	join	～に加わる／～をつなぐ	～に加わる／～をつなぐ／～とともにする	0.620
lv1	292	message	伝言／メッセージ	伝言／メッセージ	0.620
lv1	293	nearly	ほとんど／もう少しで	ほとんど／もう少しで	0.620
lv1	294	particular	特別の／特定の	特別の／特定の／ある特定の	0.780
lv1	295	previous	前の／以前の	前の／以前の	0.780
lv1	296	region	地域／領域	地域／領域／部位	0.871
lv1	297	section	部分／部門	部分／部門／地区	0.620
lv1	298	sort	～を分類する／種類	～を分類する／種類／種	0.688
lv1	299	travel	旅行する／移動する	旅行する／移動する／進む	0.620
lv1	300	consider	考慮する／～を見なす	考慮する／～を見なす／～を考慮する	0.778
lv1	301	positive	積極的な／確信している	積極的な／確信している／肯定的な	0.778
lv1	302	significant	重要な／重大な	重要な／重大な／意義深い	0.777
lv1	303	income	収入／所得	収入／所得	0.868
lv1	304	justice	正義／公正	正義／公正／司法	0.868
lv1	305	knowledge	知識／知っていること	知識／知っていること／認識	0.775
lv1	306	search	捜す／～を探す	捜す／～を探す／～を捜す	0.775
lv1	307	subject	科目／主題	科目／主題／被験者	0.775
lv1	308	author	著者／筆者	著者／筆者／作家	0.682
lv1	309	claim	～と主張する／～を要求する	～と主張する／～を要求する／主張する	0.865
lv1	310	fit	健康な／～に合う	健康な／～に合う／合う	0.682
lv1	311	judge	～を判断する／判断する	～を判断する／判断する／裁判官	0.773
lv1	312	material	材料／素材	材料／素材／生地	0.773
lv1	313	opportunity	機会／好機	機会／好機	0.773
lv1	314	secretary	秘書／長官	秘書／長官／事務局長	0.682
lv1	315	annual	1年間の／毎年の	1年間の／毎年の／年1回の	0.772
lv1	316	contract	契約／協定	契約／協定／～を契約する	0.864
lv1	317	insurance	保険／保険料	保険／保険料／保険金	0.864
lv1	318	physical	身体の／物理的な	身体の／物理的な／身体的な	0.772
lv1	319	stupid	ばかな／愚かな	ばかな／愚かな	0.680
lv1	320	administration	行政／管理	行政／管理／経営	0.679
lv1	321	approach	～に取り組む／～に接近する	～に取り組む／～に接近する／近づく	0.771
lv1	322	cancer	癌／ガン	癌／ガン／～がん	0.679
lv1	323	civil	市民の／民間の	市民の／民間の／一般市民の	0.771
lv1	324	independent	独立した／自立した	独立した／自立した／独立している	0.771
lv1	325	stock	株／在庫品	株／在庫品／蓄え	0.862
lv1	326	wonder	かなと思う／驚く	かなと思う／驚く／～と思う	0.679
lv1	327	effort	努力	努力	0.678
lv1	328	imagine	～を想像する／想像する	～を想像する／想像する／推測する	0.678
lv1	329	impact	影響／衝撃	影響／衝撃／衝突	0.678
lv1	330	lack	不足／～を欠く	不足／～を欠く／～に欠けている	0.678
lv1	331	address	～に演説する／住所	～に演説する／住所／～に対処する	0.768
lv1	332	analysis	分析	分析	0.677
lv1	333	thus	それゆえ／このように	それゆえ／このように／それ故に	0.677
lv1	334	congress	議会／会議	議会／会議／国会	0.675
lv1	335	doubt	～を疑う／疑い	～を疑う／疑い／ではないと思う	0.675
lv1	336	notice	～に気づく／気づく	～に気づく／気づく／～に気がついている	0.675
lv1	337	overall	全体的な／総合的な	全体的な／総合的な／全面的な	0.767
lv1	338	crime	犯罪／罪	犯罪／罪／違法行為	0.766
lv1	339	award	賞／～にを授与する	賞／～にを授与する／授与	0.764
lv1	340	challenge	～に異議を唱える／課題	～に異議を唱える／課題／～に挑む	0.673
lv1	341	eventually	結局／ついに	結局／ついに／結局は	0.856
lv1	342	otherwise	さもなければ／そうでなければ	さもなければ／そうでなければ／それ以外は	0.673
lv1	343	purpose	目的	目的	0.673
lv1	344	theory	理論／学説	理論／学説／原理	0.856
lv1	345	avoid	～を避ける／～を回避する	～を避ける／～を回避する	0.763
lv1	346	cell	細胞／独房	細胞／独房／電池	0.855
lv1	347	economy	経済／節約	経済／節約／経済圏	0.763
lv1	348	environment	環境／周囲	環境／周囲	0.763
lv1	349	mass	大衆／大量	大衆／大量／集団	0.763
lv1	350	mission	使命／任務	使命／任務／使節団	0.763
lv1	351	status	地位／状態	地位／状態／社会的地位	0.855
lv1	352	trial	裁判／試み	裁判／試み／試験	0.855
lv1	353	complex	複雑な／複合の	複雑な／複合の／複合体	0.853
lv1	354	murder	殺人／殺害する	殺人／殺害する／殺人の	0.762
lv1	355	attempt	～を試みる／試み	～を試みる／試み／企てる	0.852
lv1	356	exchange	交換する／～を交換する	交換する／～を交換する／交換	0.669
lv1	357	mobile	可動式の／流動的な	可動式の／流動的な／携帯電話	0.669
lv1	358	species	種／種類	種／種類／種〈単複同形〉	0.852
lv1	359	demand	～を要求する／要求	～を要求する／要求／需要	0.759
lv1	360	structure	構造／体系	構造／体系／構造物	0.851
lv1	361	wind	曲がりくねる／曲がる	曲がりくねる／曲がる／～を巻く	0.668
lv1	362	mental	精神の／知力の	精神の／知力の／頭の	0.758
lv1	363	realize	～を実現する／理解する	～を実現する／理解する／～を悟る	0.666
lv1	364	scale	規模／程度	規模／程度／体重計	0.666
lv1	365	surface	表面／外見	表面／外見／表層	0.758
lv1	366	benefit	利益／恩恵	利益／恩恵／手当	0.757
lv1	367	budget	予算／経費	予算／経費／安い	0.848
lv1	368	estate	財産／不動産	財産／不動産／地所	0.665
lv1	369	faith	信頼／信仰	信頼／信仰／信用	0.848
lv1	370	feature	特徴／特集記事	特徴／特集記事／～を特集する	0.848
lv1	371	fund	資金／基金	資金／基金／～に資金を出す	0.848
lv1	372	apply	申し込む／～を適用する	申し込む／～を適用する／当てはまる	0.755
lv1	373	authority	当局／権威	当局／権威／権限	0.755
lv1	374	basis	基礎／根拠	基礎／根拠／基準	0.847
lv1	375	gain	～を得る／～を増す	～を得る／～を増す／利益	0.755
lv1	376	prime	最も重要な／主要な	最も重要な／主要な／最重要な	0.664
lv1	377	soul	魂／精神	魂／精神／人	0.664
lv1	378	spread	広がる／～を広げる	広がる／～を広げる／～を広める	0.755
lv1	379	supply	～を供給する／供給	～を供給する／供給	0.847
lv1	380	waste	～を浪費する／無駄	～を浪費する／無駄／浪費	0.664
lv1	381	method	方法／体系	方法／体系／秩序	0.662
lv1	382	option	選択肢／選択	選択肢／選択／選択の自由	0.754
lv1	383	prison	刑務所	刑務所	0.662
lv1	384	bet	きっと～だと思う／～を賭ける	きっと～だと思う／～を賭ける／～と確信する	0.753
lv1	385	cast	～を投げる／～を投じる	～を投げる／～を投じる／投げかける	0.661
lv1	386	correct	正しい／～を訂正する	正しい／～を訂正する／正確な	0.753
lv1	387	firm	確固たる／会社	確固たる／会社／固い	0.753
lv1	388	handle	～を処理する／～を扱う	～を処理する／～を扱う／～に対処する	0.661
lv1	389	improve	～を改善する／～を向上させる	～を改善する／～を向上させる／よくなる	0.753
lv1	390	negative	否定の／否定的な	否定の／否定的な／消極的な	0.753
lv1	391	prevent	～を妨げる／～を防ぐ	～を妨げる／～を防ぐ／～をさまたげる	0.753
lv1	392	advantage	利点／有利な点	利点／有利な点／優勢	0.751
lv1	393	aware	気づいて／気づいている	気づいて／気づいている／意識している	0.751
lv1	394	decide	決める／～を決定する	決める／～を決定する／～を決める	0.751
lv1	395	function	機能／機能する	機能／機能する／関数	0.751
lv1	396	influence	影響／～に影響を与える	影響／～に影響を与える／～に影響を及ぼす	0.751
lv1	397	produce	～を生産する／～を取り出す	～を生産する／～を取り出す／産出する	0.751
lv1	398	progress	進歩／前進	進歩／前進／進歩する	0.751
lv1	399	require	～を要求する／～を必要とする	～を要求する／～を必要とする／必要とする	0.751
lv1	400	background	背景／経歴	背景／経歴／生い立ち	0.659
lv1	401	concept	概念／考え	概念／考え／コンセプト	0.750
lv1	402	labor	労働／労働者	労働／労働者／労働力	0.750
lv1	403	patient	患者／忍耐強い	患者／忍耐強い／我慢強い	0.750
lv1	404	prove	～を証明する／判明する	～を証明する／判明する／～だとわかる	0.842
lv1	405	rare	珍しい／まれな	珍しい／まれな／稀な	0.750
lv1	406	stick	くっつく／固執する	くっつく／固執する／～を貼り付ける	0.657
lv1	407	vehicle	乗り物／車	乗り物／車／伝達手段	0.749
lv1	408	volume	容積／量	容積／量／体積	0.657
lv1	409	aid	～を援助する／助ける	～を援助する／助ける／援助	0.656
lv1	410	develop	発達する／～を開発する	発達する／～を開発する／～を発達させる	0.656
lv1	411	raise	～を上げる／～を育てる	～を上げる／～を育てる／増やす	0.656
lv1	412	suggest	～を提案する／～を示唆する	～を提案する／～を示唆する／～と提案する	0.748
lv1	413	treat	～を扱う／～を治療する	～を扱う／～を治療する／～におごる	0.748
lv1	414	appreciate	～を理解する／正しく評価する	～を理解する／正しく評価する／～を正当に評価する	0.655
lv1	415	edge	端／刃	端／刃／周辺	0.655
lv1	416	evil	邪悪な／悪い	邪悪な／悪い／有害な	0.838
lv1	417	religion	宗教／信仰	宗教／信仰／信条	0.746
lv1	418	strategy	戦略／方策	戦略／方策	0.838
lv1	419	web	巣／ウェブ	巣／ウェブ／クモの巣	0.746
lv1	420	audience	聴衆／観客	聴衆／観客／観衆	0.745
lv1	421	core	核心／中心	核心／中心／芯	0.653
lv1	422	exist	存在する／生存する	存在する／生存する	0.745
lv1	423	medicine	薬／医学	薬／医学	0.653
lv1	424	mention	～に言及する／～について述べる	～に言及する／～について述べる／～と言う	0.745
lv1	425	nuclear	核の／原子力の	核の／原子力の／原子力利用の	0.837
lv1	426	reduce	～を減らす／削減する	～を減らす／削減する／～を変える	0.745
lv1	427	solid	固体の／しっかりした	固体の／しっかりした／硬い	0.837
lv1	428	stress	ストレス／～を強調する	ストレス／～を強調する／強調	0.653
